#SUBMITTED ID	H_SAPIENS_ORTHOLOGS
FBgn0001281	Hsap\PHPT1
FBgn0050350	Hsap\PPIF <newline> Hsap\NKTR <newline> Hsap\PPIL4 <newline> Hsap\PPIG <newline> Hsap\RANBP2 <newline> Hsap\PPIL3 <newline> Hsap\PPIB <newline> Hsap\PPIC <newline> Hsap\PPID <newline> Hsap\PPIH <newline> Hsap\PPIL2 <newline> Hsap\PPIE <newline> Hsap\PPIL1 <newline> Hsap\CWC27 <newline> Hsap\PPIL6 <newline> Hsap\PPIAL4G <newline> Hsap\PPIA <newline> Hsap\PPIAL4D <newline> Hsap\PPIAL4C <newline> Hsap\PPIAL4E <newline> Hsap\PPIAL4H <newline> Hsap\PPIAL4A <newline> Hsap\PPIAL4F <newline> Hsap\NPHS1
FBgn0087007	Hsap\USH1C <newline> Hsap\PDZD11 <newline> Hsap\SYNJ2BP <newline> Hsap\SLC9A3R1 <newline> Hsap\LNX1 <newline> Hsap\CYTIP <newline> Hsap\GRASP <newline> Hsap\IL16 <newline> Hsap\LNX2 <newline> Hsap\PDZD3 <newline> Hsap\PARD3B <newline> Hsap\WHRN <newline> Hsap\GOPC <newline> Hsap\PATJ <newline> Hsap\DLG5 <newline> Hsap\FRMPD2 <newline> Hsap\PARD3 <newline> Hsap\GRIP1 <newline> Hsap\PDZK1 <newline> Hsap\GRID2IP <newline> Hsap\PDZD2 <newline> Hsap\SLC9A3R2 <newline> Hsap\MPDZ <newline> Hsap\PDZD7 <newline> Hsap\SYNJ2BP-COX16
FBgn0261529	-
FBgn0013813	Hsap\DNAH10 <newline> Hsap\DNHD1 <newline> Hsap\DNAH3 <newline> Hsap\DNAH9 <newline> Hsap\DNAH5 <newline> Hsap\DNAH7 <newline> Hsap\DNAH12 <newline> Hsap\DNAH8 <newline> Hsap\DYNC1H1 <newline> Hsap\DNAH6 <newline> Hsap\DNAH17 <newline> Hsap\DYNC2H1 <newline> Hsap\DNAH1 <newline> Hsap\DNAH2 <newline> Hsap\DNAH11 <newline> Hsap\DNAH14 <newline> Hsap\VANGL1 <newline> Hsap\NLRP3
FBgn0029153	Hsap\ME2 <newline> Hsap\ME1 <newline> Hsap\ME3
FBgn0032771	Hsap\PACRG <newline> Hsap\PACRGL <newline> Hsap\CENPP
FBgn0033969	Hsap\PGM2L1 <newline> Hsap\PGM2 <newline> Hsap\PGM3
FBgn0035598	-
FBgn0051803	Hsap\RSPH9
FBgn0000056	Hsap\CBR4 <newline> Hsap\HPGD <newline> Hsap\SDR9C7 <newline> Hsap\HSD17B6 <newline> Hsap\RDH16 <newline> Hsap\DHRS9 <newline> Hsap\RDH5
FBgn0000464	Hsap\MPO <newline> Hsap\EPX <newline> Hsap\PXDN <newline> Hsap\LPO <newline> Hsap\TPO <newline> Hsap\PXDNL <newline> Hsap\PTGS1 <newline> Hsap\PTGS2 <newline> Hsap\IGSF9B <newline> Hsap\PTPRE <newline> Hsap\PTPRU <newline> Hsap\PTPRS <newline> Hsap\PTPRF <newline> Hsap\PTPRK <newline> Hsap\PTPRT <newline> Hsap\PTPRA <newline> Hsap\PTPRD <newline> Hsap\PTPRC <newline> Hsap\PTPRM <newline> Hsap\PTPRQ <newline> Hsap\LIFR <newline> Hsap\IL6ST <newline> Hsap\IL31RA <newline> Hsap\CSF3R <newline> Hsap\IL12RB2 <newline> Hsap\OSMR <newline> Hsap\PTPRB <newline> Hsap\PTPRZ1 <newline> Hsap\PTPRJ
FBgn0001092	Hsap\GAPDHS <newline> Hsap\GAPDH <newline> Hsap\PNMA8B <newline> Hsap\CA1
FBgn0001108	Hsap\DCTN1 <newline> Hsap\CLIP2 <newline> Hsap\CLIP4 <newline> Hsap\CLIP3 <newline> Hsap\CEP350 <newline> Hsap\CLIP1 <newline> Hsap\SLC4A5 <newline> Hsap\MMP15 <newline> Hsap\TBCB
FBgn0001138	Hsap\GATA1 <newline> Hsap\GATA5 <newline> Hsap\GATA6 <newline> Hsap\GATA4 <newline> Hsap\GATA2 <newline> Hsap\GATA3 <newline> Hsap\TRPS1 <newline> Hsap\ZGLP1 <newline> Hsap\IMPDH1
FBgn0002441	Hsap\L3MBTL4 <newline> Hsap\PHC1 <newline> Hsap\SFMBT2 <newline> Hsap\SCMH1 <newline> Hsap\L3MBTL1 <newline> Hsap\SAMD7 <newline> Hsap\THAP10 <newline> Hsap\L3MBTL3 <newline> Hsap\SFMBT1 <newline> Hsap\MIR3605 <newline> Hsap\SAMD11 <newline> Hsap\SCML4 <newline> Hsap\SCML1 <newline> Hsap\SCML2 <newline> Hsap\L3MBTL2 <newline> Hsap\MBTD1 <newline> Hsap\PHC2 <newline> Hsap\PHC3 <newline> Hsap\SAMD1
FBgn0002524	Hsap\ALAS2 <newline> Hsap\SPTLC2 <newline> Hsap\SPTLC3 <newline> Hsap\ALAS1 <newline> Hsap\SPTLC1 <newline> Hsap\GCAT
FBgn0002917	Hsap\NALCN <newline> Hsap\CACNA1C <newline> Hsap\CATSPER3 <newline> Hsap\SCN3A <newline> Hsap\CACNA1D <newline> Hsap\TPCN2 <newline> Hsap\SCN1A <newline> Hsap\SCN11A <newline> Hsap\CATSPER1 <newline> Hsap\CACNA1H <newline> Hsap\SCN8A <newline> Hsap\CACNA1G <newline> Hsap\CACNA1A <newline> Hsap\CACNA1S <newline> Hsap\CACNA1E <newline> Hsap\CACNA1B <newline> Hsap\SCN2A <newline> Hsap\CACNA1F <newline> Hsap\CATSPER2 <newline> Hsap\CACNA1I <newline> Hsap\SCN9A <newline> Hsap\SCN7A <newline> Hsap\CATSPER4 <newline> Hsap\SCN10A <newline> Hsap\SCN4A <newline> Hsap\SCN5A <newline> Hsap\TPCN1
FBgn0003360	Hsap\SLC25A31 <newline> Hsap\SLC25A4 <newline> Hsap\SLC25A5 <newline> Hsap\SLC25A6 <newline> Hsap\IFNG
FBgn0003462	Hsap\SOD1 <newline> Hsap\SOD3 <newline> Hsap\CCS
FBgn0004435	Hsap\GNA11 <newline> Hsap\GNAT1 <newline> Hsap\GNAT2 <newline> Hsap\GNAO1 <newline> Hsap\GNA15 <newline> Hsap\GNA12 <newline> Hsap\GNAQ <newline> Hsap\GNAI2 <newline> Hsap\GNAL <newline> Hsap\GNAI1 <newline> Hsap\GNAI3 <newline> Hsap\GNAS <newline> Hsap\GNA14 <newline> Hsap\GNAT3 <newline> Hsap\GNA13 <newline> Hsap\GNAZ
FBgn0004507	Hsap\PYGM <newline> Hsap\PYGL <newline> Hsap\PYGB
FBgn0004551	
FBgn0004873	
FBgn0005630	
FBgn0005671	Hsap\ATP6V1B2 <newline> Hsap\ATP6V1B1 <newline> Hsap\RHO
FBgn0010612	Hsap\ATP5MG <newline> Hsap\ATP5MGL
FBgn0011224	Hsap\PTBP3 <newline> Hsap\PTBP2 <newline> Hsap\MIR4745 <newline> Hsap\PTBP1 <newline> Hsap\HNRNPLL <newline> Hsap\RBM20 <newline> Hsap\HNRNPL <newline> Hsap\ZNF638 <newline> Hsap\MATR3
FBgn0011227	Hsap\UQCR10
FBgn0011361	Hsap\NDUFAB1
FBgn0011455	Hsap\NDUFB5
FBgn0011606	Hsap\KIF27 <newline> Hsap\KIF21A <newline> Hsap\KIF4A <newline> Hsap\KIF7 <newline> Hsap\KIF4B <newline> Hsap\KIF21B
FBgn0011739	Hsap\LATS1 <newline> Hsap\LATS2 <newline> Hsap\STK38 <newline> Hsap\STK38L <newline> Hsap\CDC42BPA <newline> Hsap\ROCK2 <newline> Hsap\CDC42BPG <newline> Hsap\CIT <newline> Hsap\CDC42BPB <newline> Hsap\ROCK1 <newline> Hsap\DMPK
FBgn0011763	Hsap\TFDP2 <newline> Hsap\TFDP3 <newline> Hsap\TFDP1
FBgn0011836	Hsap\TAF2
FBgn0013300	-
FBgn0013746	Hsap\COPS2 <newline> Hsap\PSMD11
FBgn0016119	Hsap\ATP5PF
FBgn0019828	-
FBgn0019960	Hsap\IMMT
FBgn0022097	Hsap\ATP6V1D
FBgn0022708	
FBgn0022709	Hsap\CMPK1 <newline> Hsap\AK7 <newline> Hsap\AK8 <newline> Hsap\AK5 <newline> Hsap\AK2 <newline> Hsap\AK1 <newline> Hsap\AK3 <newline> Hsap\AK4 <newline> Hsap\AK9 <newline> Hsap\LOC390877
FBgn0023212	Hsap\ELOB
FBgn0023529	Hsap\HYOU1 <newline> Hsap\HSPA12B <newline> Hsap\HSPA13 <newline> Hsap\HSPA4L <newline> Hsap\HSPA9 <newline> Hsap\HSPA4 <newline> Hsap\HSPA6 <newline> Hsap\HSPH1 <newline> Hsap\HSPA5 <newline> Hsap\ANKRD45 <newline> Hsap\SLC9C2 <newline> Hsap\HSPA12A <newline> Hsap\HSPA1B <newline> Hsap\HSPA1A <newline> Hsap\HSPA1L <newline> Hsap\HSPA14 <newline> Hsap\HSPA2 <newline> Hsap\HSPA8
FBgn0024913	Hsap\AMH <newline> Hsap\TGFB1 <newline> Hsap\TGFB3 <newline> Hsap\INHBA <newline> Hsap\INHA <newline> Hsap\BMP4 <newline> Hsap\GDF1 <newline> Hsap\BMP15 <newline> Hsap\GDF15 <newline> Hsap\GDF11 <newline> Hsap\MSTN <newline> Hsap\INHBE <newline> Hsap\LEFTY1 <newline> Hsap\GDF7 <newline> Hsap\BMP3 <newline> Hsap\BMP6 <newline> Hsap\GDF6 <newline> Hsap\NODAL <newline> Hsap\INHBB <newline> Hsap\BMP10 <newline> Hsap\INHBC <newline> Hsap\BMP8A <newline> Hsap\GDF3 <newline> Hsap\LEFTY2 <newline> Hsap\TGFB2 <newline> Hsap\BMP5 <newline> Hsap\BMP8B <newline> Hsap\GDF5 <newline> Hsap\GDF9 <newline> Hsap\BMP2 <newline> Hsap\BMP7 <newline> Hsap\GDF2 <newline> Hsap\GDF10
FBgn0026061	Hsap\MINPP1
FBgn0027085	Hsap\LARS2 <newline> Hsap\LARS
FBgn0027515	Hsap\PPM1L <newline> Hsap\TAB1 <newline> Hsap\ILKAP <newline> Hsap\PPM1F <newline> Hsap\PPM1B <newline> Hsap\PPM1D <newline> Hsap\PDP2 <newline> Hsap\PPM1E <newline> Hsap\PPM1A <newline> Hsap\PPM1G <newline> Hsap\PPTC7 <newline> Hsap\PP2D1 <newline> Hsap\PDP1 <newline> Hsap\PPM1N <newline> Hsap\PPM1K
FBgn0027602	Hsap\DDX31 <newline> Hsap\DDX1 <newline> Hsap\DDX18 <newline> Hsap\DDX56 <newline> Hsap\ZMPSTE24 <newline> Hsap\DDX51 <newline> Hsap\DDX55 <newline> Hsap\DDX24
FBgn0028325	Hsap\PDHA1 <newline> Hsap\PDHA2 <newline> Hsap\PRPSAP2 <newline> Hsap\PRPS1 <newline> Hsap\PRPS2 <newline> Hsap\PRPSAP1 <newline> Hsap\PRPS1L1
FBgn0028342	Hsap\ATP5F1D <newline> Hsap\REN
FBgn0028500	Hsap\RIC1
FBgn0029667	Hsap\GAS8
FBgn0029834	Hsap\ARFGEF3
FBgn0029868	Hsap\YJEFN3 <newline> Hsap\NDUFA13
FBgn0029941	Hsap\ZC3H18
FBgn0029993	Hsap\WDR63 <newline> Hsap\DYNC1I1 <newline> Hsap\WDR34 <newline> Hsap\DYNC1I2 <newline> Hsap\WDR60 <newline> Hsap\DNAI2 <newline> Hsap\DNAI1
FBgn0030283	-
FBgn0030449	Hsap\FTHL17 <newline> Hsap\FTMT <newline> Hsap\FTL <newline> Hsap\FTH1 <newline> Hsap\FTH1P19 <newline> Hsap\WDR62 <newline> Hsap\FTHL18
FBgn0030478	Hsap\GPT <newline> Hsap\GPT2 <newline> Hsap\ACCSL <newline> Hsap\ACCS <newline> Hsap\KYAT1 <newline> Hsap\KYAT3 <newline> Hsap\TAT
FBgn0030525	Hsap\GALM <newline> Hsap\LFNG <newline> Hsap\MFNG <newline> Hsap\RFNG
FBgn0030851	Hsap\CCDC137
FBgn0030853	Hsap\NDUFV2
FBgn0031042	Hsap\TXNDC8 <newline> Hsap\TXN <newline> Hsap\TXNDC2 <newline> Hsap\NME8 <newline> Hsap\TXN2 <newline> Hsap\PDIA2 <newline> Hsap\TMX4 <newline> Hsap\ERP44 <newline> Hsap\DNAJC10 <newline> Hsap\TXNDC9 <newline> Hsap\ERP27 <newline> Hsap\TXNDC16 <newline> Hsap\TXNDC11 <newline> Hsap\PDIA4 <newline> Hsap\TMX3 <newline> Hsap\PDIA3 <newline> Hsap\PDILT <newline> Hsap\PDIA5 <newline> Hsap\P4HB <newline> Hsap\TXNDC5 <newline> Hsap\NME9 <newline> Hsap\PDIA6 <newline> Hsap\TMX1 <newline> Hsap\TXNL1
FBgn0031332	Hsap\PUDP
FBgn0031335	Hsap\PUDP
FBgn0031436	Hsap\NDUFA12 <newline> Hsap\NDUFAF2
FBgn0031905	Hsap\ARMC4 <newline> Hsap\RSPH14 <newline> Hsap\ARMC3 <newline> Hsap\CTNND2 <newline> Hsap\CTNNB1 <newline> Hsap\ARVCF <newline> Hsap\PKP4 <newline> Hsap\JUP <newline> Hsap\ANKAR
FBgn0031941	Hsap\ATP5MG <newline> Hsap\ATP5MGL
FBgn0031993	
FBgn0032004	-
FBgn0032266	Hsap\LIPF <newline> Hsap\LIPM <newline> Hsap\LIPA <newline> Hsap\LIPN <newline> Hsap\LIPJ <newline> Hsap\LIPK <newline> Hsap\EPHX3 <newline> Hsap\ABHD11 <newline> Hsap\MEST <newline> Hsap\ABHD8 <newline> Hsap\ABHD10 <newline> Hsap\ABHD14A <newline> Hsap\SERHL2 <newline> Hsap\EPHX4 <newline> Hsap\BPHL <newline> Hsap\PPME1 <newline> Hsap\ABHD5 <newline> Hsap\ABHD4 <newline> Hsap\ABHD14B <newline> Hsap\ABHD6 <newline> Hsap\EPHX2 <newline> Hsap\EPHX1 <newline> Hsap\HMGCR
FBgn0032372	Hsap\GALM <newline> Hsap\LFNG <newline> Hsap\MFNG <newline> Hsap\RFNG
FBgn0032431	Hsap\C1orf194
FBgn0032498	
FBgn0032741	Hsap\HES5 <newline> Hsap\HEYL <newline> Hsap\HES1 <newline> Hsap\BHLHE41 <newline> Hsap\BHLHE40 <newline> Hsap\HES6 <newline> Hsap\HEY1 <newline> Hsap\HEY2 <newline> Hsap\HES2 <newline> Hsap\HES3 <newline> Hsap\HES4 <newline> Hsap\HELT <newline> Hsap\HES7
FBgn0033020	Hsap\COX4I1 <newline> Hsap\COX4I2 <newline> Hsap\APOBEC3D <newline> Hsap\AICDA <newline> Hsap\APOBEC3F <newline> Hsap\APOBEC3B <newline> Hsap\APOBEC3C <newline> Hsap\APOBEC3A <newline> Hsap\APOBEC3G
FBgn0033639	Hsap\FBXL19 <newline> Hsap\LRRC29 <newline> Hsap\FBXL20 <newline> Hsap\FBXL2 <newline> Hsap\FBXO41 <newline> Hsap\FBXW8 <newline> Hsap\AMN1 <newline> Hsap\FBXO39 <newline> Hsap\FBXL12 <newline> Hsap\FBXL7 <newline> Hsap\FBXL13 <newline> Hsap\FBXL17
FBgn0034007	Hsap\NDUFV1
FBgn0034073	Hsap\NOL9
FBgn0034131	-
FBgn0034434	
FBgn0034464	-
FBgn0034505	-
FBgn0034532	Hsap\CFAP206
FBgn0034592	Hsap\EFCAB2 <newline> Hsap\CABP7 <newline> Hsap\PVALB <newline> Hsap\TNNC1 <newline> Hsap\OCM <newline> Hsap\OCM2 <newline> Hsap\EFCAB6 <newline> Hsap\CALB1 <newline> Hsap\RHBDL3 <newline> Hsap\CALM2 <newline> Hsap\CALM3 <newline> Hsap\CABP5 <newline> Hsap\CABP2 <newline> Hsap\CALML6 <newline> Hsap\CALB2 <newline> Hsap\CALML3 <newline> Hsap\CABP1 <newline> Hsap\CABP4 <newline> Hsap\EFCAB11 <newline> Hsap\EFCAB13 <newline> Hsap\SPATA21 <newline> Hsap\CALM1 <newline> Hsap\EFCAB7 <newline> Hsap\AIF1L <newline> Hsap\TNNC2 <newline> Hsap\AIF1 <newline> Hsap\SCGN <newline> Hsap\CALML5 <newline> Hsap\CALN1 <newline> Hsap\EFCAB9 <newline> Hsap\EFCAB3 <newline> Hsap\CALML4 <newline> Hsap\CETN2 <newline> Hsap\CETN1
FBgn0034603	
FBgn0034713	Hsap\PGP <newline> Hsap\PDXP <newline> Hsap\HDHD2 <newline> Hsap\HDHD5 <newline> Hsap\LHPP
FBgn0034908	Hsap\WDR70
FBgn0035001	Hsap\STK10 <newline> Hsap\SLK
FBgn0035239	-
FBgn0035399	
FBgn0035404	
FBgn0035483	Hsap\MUL1
FBgn0035585	Hsap\ATP5PF
FBgn0035724	Hsap\CFAP52 <newline> Hsap\WSB1 <newline> Hsap\WDR90 <newline> Hsap\WDR49 <newline> Hsap\PAAF1 <newline> Hsap\WDR5B <newline> Hsap\WDR88 <newline> Hsap\WDR5 <newline> Hsap\AHI1 <newline> Hsap\WDR13 <newline> Hsap\WSB2 <newline> Hsap\DCAF11 <newline> Hsap\WDR27 <newline> Hsap\AMBRA1 <newline> Hsap\NUP37 <newline> Hsap\WDR38
FBgn0035799	Hsap\DNAI2 <newline> Hsap\WDR63 <newline> Hsap\DYNC1I1 <newline> Hsap\WDR34 <newline> Hsap\DYNC1I2 <newline> Hsap\WDR60 <newline> Hsap\DNAI1
FBgn0035802	Hsap\KALRN <newline> Hsap\VAV3 <newline> Hsap\MCF2L2 <newline> Hsap\ARHGEF6 <newline> Hsap\VAV1 <newline> Hsap\MCF2 <newline> Hsap\PLEKHG1 <newline> Hsap\KIAA1755 <newline> Hsap\ARHGEF4 <newline> Hsap\MCF2L <newline> Hsap\PLEKHG4B <newline> Hsap\ARHGEF40 <newline> Hsap\SESTD1 <newline> Hsap\ARHGEF25 <newline> Hsap\TIAM1 <newline> Hsap\ARHGEF7 <newline> Hsap\VAV2 <newline> Hsap\PLEKHN1 <newline> Hsap\PLEKHG4 <newline> Hsap\TIAM2 <newline> Hsap\PLEKHG2
FBgn0036310	-
FBgn0036627	-
FBgn0036723	Hsap\PKM <newline> Hsap\PKLR
FBgn0036728	Hsap\UQCRQ
FBgn0036733	Hsap\PRPF4 <newline> Hsap\DAW1
FBgn0036775	Hsap\POLR3D <newline> Hsap\GPR37L1
FBgn0036931	Hsap\IQCA1 <newline> Hsap\IQCA1L <newline> Hsap\TRIP13 <newline> Hsap\ATAD2B <newline> Hsap\PEX1 <newline> Hsap\SPATA5 <newline> Hsap\NVL <newline> Hsap\PEX6 <newline> Hsap\SPATA5L1 <newline> Hsap\FIGN <newline> Hsap\ATAD1 <newline> Hsap\VCP <newline> Hsap\NSF <newline> Hsap\FIGNL1 <newline> Hsap\SPAST
FBgn0036962	Hsap\CFAP157
FBgn0037035	-
FBgn0037059	Hsap\CCDC65
FBgn0037063	Hsap\IMPA2 <newline> Hsap\IMPAD1 <newline> Hsap\IMPA1
FBgn0037191	Hsap\C1orf158
FBgn0037236	Hsap\FBXL15 <newline> Hsap\FBXL19 <newline> Hsap\LRRC29 <newline> Hsap\FBXL6 <newline> Hsap\FBXL13 <newline> Hsap\FBXL3 <newline> Hsap\FBXL5 <newline> Hsap\SKP2 <newline> Hsap\FBXL20 <newline> Hsap\FBXL2 <newline> Hsap\FBXL17 <newline> Hsap\FBXL22 <newline> Hsap\FBXL18 <newline> Hsap\FBXL7
FBgn0037276	Hsap\CCDC39 <newline> Hsap\LOC101928882
FBgn0037463	-
FBgn0037464	-
FBgn0037483	Hsap\UACA
FBgn0037659	Hsap\PHF2 <newline> Hsap\PHF8 <newline> Hsap\KDM2B <newline> Hsap\FBXL19 <newline> Hsap\KDM7A <newline> Hsap\KDM2A <newline> Hsap\FBXL15 <newline> Hsap\FBXL12 <newline> Hsap\AMN1 <newline> Hsap\FBXO39 <newline> Hsap\FBXL13 <newline> Hsap\FBXL6 <newline> Hsap\FBXL14 <newline> Hsap\FBXL3 <newline> Hsap\FBXL22 <newline> Hsap\FBXL4 <newline> Hsap\FBXL16 <newline> Hsap\LRRC29 <newline> Hsap\FBXL7 <newline> Hsap\FBXL17 <newline> Hsap\MIR7107
FBgn0037860	Hsap\SDHC
FBgn0038008	Hsap\GPCPD1 <newline> Hsap\GDE1 <newline> Hsap\GDPD1 <newline> Hsap\GDPD4 <newline> Hsap\GDPD5 <newline> Hsap\GDPD3 <newline> Hsap\GDPD2
FBgn0038127	Hsap\DNAJB9 <newline> Hsap\DNAJB1 <newline> Hsap\DNAJB6 <newline> Hsap\DNAJA3 <newline> Hsap\DNAJC10 <newline> Hsap\DNAJC5B <newline> Hsap\DNAJC5G <newline> Hsap\DNAJC18 <newline> Hsap\DNAJB7 <newline> Hsap\DNAJA2 <newline> Hsap\DNAJC25 <newline> Hsap\DNAJB2 <newline> Hsap\DNAJB13 <newline> Hsap\DNAJB12 <newline> Hsap\DNAJC5 <newline> Hsap\DNAJB4 <newline> Hsap\DNAJC25-GNG10 <newline> Hsap\DNAJC16 <newline> Hsap\DNAJC11 <newline> Hsap\DNAJA1 <newline> Hsap\DNAJC21 <newline> Hsap\DNAJA4 <newline> Hsap\DNAJB5 <newline> Hsap\DNAJB14 <newline> Hsap\DNAJC7 <newline> Hsap\DNAJB11 <newline> Hsap\DNAJB8 <newline> Hsap\DNAJC24 <newline> Hsap\DNAJC22 <newline> Hsap\DNAJC3 <newline> Hsap\DNAJC4
FBgn0038190	Hsap\HDGFL3 <newline> Hsap\GLYR1 <newline> Hsap\HDGF <newline> Hsap\PSIP1 <newline> Hsap\HDGFL1 <newline> Hsap\HDGFL2
FBgn0038258	Hsap\PKM <newline> Hsap\PKLR
