Tissue	FPKM.m	SD.m	Enrichment.m	FPKM.f	SD.f	Enrichment.f	M.F	p.value	FPKM.mf	SD.mf	Enrichment.mf
index.html?fbgn=FBgn0010228&tableOut=gene:25:Carcass	60.96	15.07	0.96	47.77	11.61	1.35	1.28	n.s.	50.15	4.6	0.82
index.html?fbgn=FBgn0010235&tableOut=gene:25:Carcass	17.16	0.77	1.34	16.79	2.16	1.25	1.02	n.s.	13.38	1.17	0.63
index.html?fbgn=FBgn0010238&tableOut=gene:25:Carcass	13.31	1.41	0.88	14.26	1.44	1.08	0.93	n.s.	17.6	0.26	1.43
index.html?fbgn=FBgn0010240&tableOut=gene:25:Carcass	0.9	0.17	-1	0.55	0.28	-1	1	n.s.	0.3	0.19	-1
index.html?fbgn=FBgn0010241&tableOut=gene:25:Carcass	2.31	0.62	0.37	1.37	0.61	0.54	1.16	n.s.	0.02	0.01	0
index.html?fbgn=FBgn0010246&tableOut=gene:25:Carcass	4.52	1.4	0.22	9.47	3.1	0.48	0.48	n.s.	5.01	0.35	0.24
index.html?fbgn=FBgn0010247&tableOut=gene:25:Carcass	16.94	0.82	1.07	18.68	2.36	0.94	0.91	n.s.	30.89	1.34	1.37
index.html?fbgn=FBgn0010258&tableOut=gene:25:Carcass	1.05	1.02	0.22	0.11	0.02	-1	1	n.s.	0.1	0.08	-1
index.html?fbgn=FBgn0010263&tableOut=gene:25:Carcass	39.04	0.37	1.1	31.25	4.35	3.95	1.25	n.s.	20.36	2.65	5.43
index.html?fbgn=FBgn0010265&tableOut=gene:25:Carcass	452.15	42.15	1.04	823.12	121.5	1.01	0.55	p > 0.05	545.05	25.28	1.01
index.html?fbgn=FBgn0010269&tableOut=gene:25:Carcass	4.05	0.38	1.05	4.62	0.2	0.42	0.88	n.s.	4.38	0.21	0.87
index.html?fbgn=FBgn0010278&tableOut=gene:25:Carcass	2.64	0.42	1.03	5.04	1.41	0.35	0.52	n.s.	3.9	0.27	0.82
index.html?fbgn=FBgn0010280&tableOut=gene:25:Carcass	6.33	0.25	0.78	8.17	0.24	0.73	0.77	p > 0.01	5.59	0.31	1.39
index.html?fbgn=FBgn0010282&tableOut=gene:25:Carcass	3.78	0.35	1.06	4.92	0.84	0.62	0.77	n.s.	4.26	0.31	0.85
index.html?fbgn=FBgn0010287&tableOut=gene:25:Carcass	1.07	0.16	0.52	1.76	0.34	0.55	1	n.s.	1.16	0.13	-1
index.html?fbgn=FBgn0010288&tableOut=gene:25:Carcass	17.25	3.07	0.46	16.78	2.79	0.36	1.03	n.s.	28.06	7.99	0.53
index.html?fbgn=FBgn0010292&tableOut=gene:25:Carcass	4.93	0.49	1.19	11.1	1.32	0.84	0.44	p > 0.01	4.25	0.55	0.77
index.html?fbgn=FBgn0010294&tableOut=gene:25:Carcass	0.04	0.06	-1	0	0	-1	1	n.s.	14.21	14.56	0.96
index.html?fbgn=FBgn0010295&tableOut=gene:25:Carcass	0.06	0.06	-1	0.12	0.1	-1	1	n.s.	80.92	69.55	0.74
index.html?fbgn=FBgn0010296&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0010300&tableOut=gene:25:Carcass	1.65	0.3	0.46	4.84	2.49	0.19	0.41	n.s.	8.19	0.3	1.29
index.html?fbgn=FBgn0010303&tableOut=gene:25:Carcass	4.45	0.33	0.88	5.02	0.31	0.73	0.89	n.s.	3.3	0.37	0.74
index.html?fbgn=FBgn0010309&tableOut=gene:25:Carcass	1.6	0.2	0.43	2.02	0.59	0.26	0.99	n.s.	1.37	0.28	-1
index.html?fbgn=FBgn0010313&tableOut=gene:25:Carcass	6.81	0.19	1.41	9.66	1.34	1.42	0.7	n.s.	4.37	0.41	0.83
index.html?fbgn=FBgn0010314&tableOut=gene:25:Carcass	0.5	0.41	-1	3.54	3.49	0.19	0.56	n.s.	13.32	1.73	1.78
index.html?fbgn=FBgn0010315&tableOut=gene:25:Carcass	4.79	0.29	1.68	8.43	1.51	0.53	0.57	p > 0.05	7.4	1.14	1.1
index.html?fbgn=FBgn0010316&tableOut=gene:25:Carcass	5.59	0.74	1.22	9.56	2.72	0.45	0.58	n.s.	10.68	0.26	1.48
index.html?fbgn=FBgn0010317&tableOut=gene:25:Carcass	0.14	0.1	-1	2.21	2.15	0.21	0.9	n.s.	0.02	0.03	-1
index.html?fbgn=FBgn0010323&tableOut=gene:25:Carcass	0	0	-1	0.01	0.01	-1	1	n.s.	0.02	0.03	-1
index.html?fbgn=FBgn0010328&tableOut=gene:25:Carcass	4.88	0.12	1.01	7.39	0.93	0.48	0.66	p > 0.05	8.32	0.3	1.41
index.html?fbgn=FBgn0010329&tableOut=gene:25:Carcass	0.6	0.43	-1	0.45	0.28	-1	1	n.s.	0.17	0.07	-1
index.html?fbgn=FBgn0010333&tableOut=gene:25:Carcass	13.3	0.92	1.2	14.65	2.49	1.02	0.91	n.s.	22.64	1.6	0.9
index.html?fbgn=FBgn0010339&tableOut=gene:25:Carcass	9.94	0.22	0.96	15.82	2.21	0.68	0.63	p > 0.05	13.26	1.18	1.17
index.html?fbgn=FBgn0010340&tableOut=gene:25:Carcass	10.56	1.08	1.19	9.6	1	1.28	1.1	n.s.	9	1.13	1.27
index.html?fbgn=FBgn0010341&tableOut=gene:25:Carcass	20.06	1.24	0.96	23.43	3.73	0.75	0.86	n.s.	37.75	2.62	0.69
index.html?fbgn=FBgn0010342&tableOut=gene:25:Carcass	1.82	0.13	-1	3.38	2.01	0.19	0.59	n.s.	7.66	0.19	0.98
index.html?fbgn=FBgn0010348&tableOut=gene:25:Carcass	118.9	10.33	1.61	114	17.9	1.62	1.04	n.s.	181.76	8.67	1.04
index.html?fbgn=FBgn0010350&tableOut=gene:25:Carcass	28.8	5.04	0.73	25.48	3.02	1.34	1.13	n.s.	15.74	1.17	0.66
index.html?fbgn=FBgn0010352&tableOut=gene:25:Carcass	288.97	8.06	1.94	222.66	35.19	4.71	1.3	n.s.	51.63	5.63	1.76
index.html?fbgn=FBgn0010355&tableOut=gene:25:Carcass	4	0.75	0.75	4.62	0.19	0.57	0.87	n.s.	3.16	0.04	1.07
index.html?fbgn=FBgn0010356&tableOut=gene:25:Carcass	3.45	0.34	1.3	4.02	0.13	0.69	0.86	n.s.	3.36	0.12	0.73
index.html?fbgn=FBgn0010357&tableOut=gene:25:Carcass	281.2	109.91	0.19	364.6	103.61	0.35	0.77	n.s.	1.53	1.24	0
index.html?fbgn=FBgn0010358&tableOut=gene:25:Carcass	0.37	0.31	-1	1.62	2.03	0.39	1	n.s.	0.45	0.39	0
index.html?fbgn=FBgn0010359&tableOut=gene:25:Carcass	0.02	0.03	-1	0.02	0.04	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0010379&tableOut=gene:25:Carcass	18.94	2.3	1.4	23.86	4.79	1.8	0.79	n.s.	17.45	0.66	1.06
index.html?fbgn=FBgn0010380&tableOut=gene:25:Carcass	11.69	1.87	0.98	13.88	2.19	0.9	0.84	n.s.	10.4	0.98	0.72
index.html?fbgn=FBgn0010382&tableOut=gene:25:Carcass	0.59	0.12	-1	3.57	2.91	0.16	0.56	n.s.	5.58	0.15	2.23
index.html?fbgn=FBgn0010383&tableOut=gene:25:Carcass	5.33	0.43	2.07	10.35	1.73	2.39	0.51	p > 0.05	7.13	2.6	3.56
index.html?fbgn=FBgn0010385&tableOut=gene:25:Carcass	11.03	4.78	0.2	65.05	64.05	0.97	0.17	n.s.	0.76	0.92	0.37
index.html?fbgn=FBgn0010387&tableOut=gene:25:Carcass	806.02	54.74	0.69	288.61	68.42	0.86	2.8	p > 0.01	27.37	1.41	0.12
index.html?fbgn=FBgn0010388&tableOut=gene:25:Carcass	9.83	7.81	0.06	102.68	81.42	1.72	0.1	n.s.	0.99	1.13	-1
index.html?fbgn=FBgn0010389&tableOut=gene:25:Carcass	3.36	0.72	0.82	3.21	0.98	1.57	1.05	n.s.	2.92	0.31	1.46
index.html?fbgn=FBgn0010391&tableOut=gene:25:Carcass	15.2	1.18	1.22	20.54	2.04	1.33	0.74	p > 0.05	16.25	0.84	0.84
index.html?fbgn=FBgn0010395&tableOut=gene:25:Carcass	2.15	1.06	0.41	1.41	0.59	0.61	1.07	n.s.	0.8	0.11	0.08
index.html?fbgn=FBgn0010397&tableOut=gene:25:Carcass	11.03	0.4	1.11	10.36	2.54	1.43	1.06	n.s.	25.9	2.12	2.43
index.html?fbgn=FBgn0010398&tableOut=gene:25:Carcass	1.37	0.32	-1	1.57	0.35	0.3	1	n.s.	1.38	0.42	-1
index.html?fbgn=FBgn0010399&tableOut=gene:25:Carcass	0.69	0.31	-1	0.61	0.39	-1	1	n.s.	0.19	0.11	-1
index.html?fbgn=FBgn0010401&tableOut=gene:25:Carcass	0.06	0.11	0	0	0	0	1	n.s.	0.04	0.08	-1
index.html?fbgn=FBgn0010403&tableOut=gene:25:Carcass	0.22	0.3	0	0.04	0.07	0	1	n.s.	0	0	-1
index.html?fbgn=FBgn0010406&tableOut=gene:25:Carcass	30.83	0.99	1.65	27.51	3.07	1.34	1.12	n.s.	16.73	1.46	0.83
index.html?fbgn=FBgn0010407&tableOut=gene:25:Carcass	0.53	0.08	-1	0.48	0.3	-1	1	n.s.	0.78	0.29	0.31
index.html?fbgn=FBgn0010408&tableOut=gene:25:Carcass	414.64	65.01	1.56	766.88	114.62	1.24	0.54	p > 0.05	479.98	26.86	0.97
index.html?fbgn=FBgn0010409&tableOut=gene:25:Carcass	561.78	100.74	1.09	1101.16	193.34	1.16	0.51	p > 0.05	594.5	44.1	1
index.html?fbgn=FBgn0010411&tableOut=gene:25:Carcass	665.2	107.58	1.44	1014.7	176.1	1.34	0.66	n.s.	578.74	24.88	0.82
index.html?fbgn=FBgn0010412&tableOut=gene:25:Carcass	311.53	41	0.89	640.21	119.03	1.03	0.49	p > 0.05	507.96	29.81	1.02
index.html?fbgn=FBgn0010414&tableOut=gene:25:Carcass	0.46	0.06	-1	0.38	0.17	-1	1	n.s.	0.3	0.09	-1
index.html?fbgn=FBgn0010415&tableOut=gene:25:Carcass	60.53	4.27	1.78	49.67	10.09	2.42	1.22	n.s.	23.07	1	0.43
index.html?fbgn=FBgn0010416&tableOut=gene:25:Carcass	5.51	0.08	1.04	7.32	0.57	0.69	0.75	p > 0.05	9.52	0.79	1.11
index.html?fbgn=FBgn0010417&tableOut=gene:25:Carcass	4.72	0.43	1.11	5.66	0.07	0.98	0.83	n.s.	4.8	0.35	0.84
index.html?fbgn=FBgn0010421&tableOut=gene:25:Carcass	4.38	0.33	1.06	5.46	0.55	0.47	0.8	n.s.	3.26	0.26	0.76
index.html?fbgn=FBgn0010422&tableOut=gene:25:Carcass	5.15	0.31	0.95	6.6	1.02	0.68	0.78	n.s.	5.95	0.39	0.83
index.html?fbgn=FBgn0010423&tableOut=gene:25:Carcass	12.42	3.77	1.03	9.17	0.61	1.23	1.35	n.s.	523.26	32.15	12.05
index.html?fbgn=FBgn0010424&tableOut=gene:25:Carcass	10.62	2.82	0.75	11.51	1.13	1.14	0.92	n.s.	1028.99	49.79	6.72
index.html?fbgn=FBgn0010425&tableOut=gene:25:Carcass	19.76	6.36	0.26	53.11	34.67	0.32	0.37	n.s.	0.36	0.35	0
index.html?fbgn=FBgn0010431&tableOut=gene:25:Carcass	0.59	0.38	-1	12.89	11.14	0.15	0.16	n.s.	0.17	0.1	-1
index.html?fbgn=FBgn0010433&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0.63	0.21	-1
index.html?fbgn=FBgn0010434&tableOut=gene:25:Carcass	15.28	1.55	0.79	19.61	4.26	1.88	0.78	n.s.	15.73	0.93	1.71
index.html?fbgn=FBgn0010435&tableOut=gene:25:Carcass	77.64	6.23	0.99	54.06	9.93	2.91	1.44	p > 0.05	24.26	1.88	2.08
index.html?fbgn=FBgn0010438&tableOut=gene:25:Carcass	6.59	1.21	0.96	11.72	2.91	0.23	0.56	n.s.	11	0.26	1.13
index.html?fbgn=FBgn0010441&tableOut=gene:25:Carcass	5.09	0.34	1.73	5.09	0.45	0.86	1	n.s.	2.93	0.43	0.59
index.html?fbgn=FBgn0010452&tableOut=gene:25:Carcass	1.05	0.19	-1	0.99	0.32	-1	1	n.s.	5.19	0.17	1.6
index.html?fbgn=FBgn0010453&tableOut=gene:25:Carcass	0.12	0.01	-1	0.19	0.09	-1	1	n.s.	0.59	0.12	-1
index.html?fbgn=FBgn0010470&tableOut=gene:25:Carcass	46.91	1.52	1.64	42.33	12.51	2.52	1.11	n.s.	25.77	1.79	0.48
index.html?fbgn=FBgn0010473&tableOut=gene:25:Carcass	1.47	0.71	0.2	1.18	0.79	0.56	1	n.s.	1.73	0.18	-1
index.html?fbgn=FBgn0010482&tableOut=gene:25:Carcass	32.36	9.16	1.38	25	4.13	3.59	1.29	n.s.	136.27	26.78	11.04
index.html?fbgn=FBgn0010488&tableOut=gene:25:Carcass	26.27	0.98	0.82	31.92	3.07	0.59	0.82	n.s.	24.5	3.49	0.59
index.html?fbgn=FBgn0010497&tableOut=gene:25:Carcass	3.89	1.78	0.36	9.16	1.96	0.27	0.42	p > 0.05	14.12	0.43	0.68
index.html?fbgn=FBgn0010501&tableOut=gene:25:Carcass	0.93	0.29	-1	2.73	1.01	0.41	0.73	n.s.	1.95	0.21	0.47
index.html?fbgn=FBgn0010504&tableOut=gene:25:Carcass	3.41	1.03	0.15	3.07	0.55	0.41	1.11	n.s.	2.45	0.17	0.25
index.html?fbgn=FBgn0010516&tableOut=gene:25:Carcass	151.11	27.96	1.72	150.82	40.02	2.71	1	n.s.	73.94	5.2	0.96
index.html?fbgn=FBgn0010520&tableOut=gene:25:Carcass	4.41	0.66	0.93	8.33	0.4	0.67	0.53	p > 0.01	4.14	0.36	1.08
index.html?fbgn=FBgn0010531&tableOut=gene:25:Carcass	10.98	1.05	1.32	7.25	1.31	1.24	1.51	p > 0.05	4.07	1.15	0.63
index.html?fbgn=FBgn0010548&tableOut=gene:25:Carcass	105.23	13.78	1.53	56.82	10.35	2.99	1.85	p > 0.01	34.5	3.39	0.82
index.html?fbgn=FBgn0010549&tableOut=gene:25:Carcass	0.07	0.04	-1	0.79	0.58	0.23	1	n.s.	0.75	0.3	0.33
index.html?fbgn=FBgn0010551&tableOut=gene:25:Carcass	40.63	3.02	0.93	53.1	8.86	0.81	0.77	n.s.	41.29	5.83	1.14
index.html?fbgn=FBgn0010583&tableOut=gene:25:Carcass	3.48	0.36	0.6	3.91	0.26	0.68	0.89	n.s.	3.26	0.05	0.78
index.html?fbgn=FBgn0010590&tableOut=gene:25:Carcass	101.82	7.68	1.32	89.02	13.14	1.28	1.14	n.s.	65.8	14.28	0.69
index.html?fbgn=FBgn0010591&tableOut=gene:25:Carcass	17.46	1.09	1.25	25.11	4.3	1.59	0.7	n.s.	8.05	4.16	0.11
index.html?fbgn=FBgn0010602&tableOut=gene:25:Carcass	16.38	1.96	1.02	19.39	0.71	0.6	0.84	n.s.	24.94	1.58	0.87
index.html?fbgn=FBgn0010607&tableOut=gene:25:Carcass	3.72	0.33	1.24	5.12	0.35	0.47	0.73	p > 0.01	3.78	0.31	0.63
index.html?fbgn=FBgn0010611&tableOut=gene:25:Carcass	41.78	5.92	1.13	35.58	6.78	1.77	1.17	n.s.	10.42	0.83	0.88
index.html?fbgn=FBgn0010612&tableOut=gene:25:Carcass	905.1	208.63	1.58	607.77	41.06	1.74	1.49	n.s.	387.99	33.14	1.96
index.html?fbgn=FBgn0010620&tableOut=gene:24:Carcass	13.53	2.74	1.07	13.11	0.65	1.24	1.03	n.s.	38.57	2.91	1.8
index.html?fbgn=FBgn0010621&tableOut=gene:25:Carcass	10.89	0.98	1.16	25.13	4.31	0.59	0.43	p > 0.05	32.87	0.66	1.09
index.html?fbgn=FBgn0010622&tableOut=gene:25:Carcass	8.77	0.53	1.14	7.26	0.69	0.82	1.21	p > 0.05	6.87	0.3	0.85
index.html?fbgn=FBgn0010638&tableOut=gene:25:Carcass	39.52	7.56	0.93	59	12.16	1.22	0.67	n.s.	109.83	3.66	1.12
index.html?fbgn=FBgn0010651&tableOut=gene:25:Carcass	28.64	4.19	1.69	29.58	5.63	2.79	0.97	n.s.	3.73	0.59	0.24
index.html?fbgn=FBgn0010660&tableOut=gene:25:Carcass	2.83	0.22	0.63	4.21	1.13	0.34	0.67	n.s.	5.2	0.13	1.53
index.html?fbgn=FBgn0010741&tableOut=gene:25:Carcass	16.44	0.37	1.21	21.48	0.87	0.59	0.77	p > 0.01	45.05	1.58	1.76
index.html?fbgn=FBgn0010747&tableOut=gene:25:Carcass	22.34	1.22	1.06	25.19	3.83	1.24	0.89	n.s.	22.44	1.43	0.96
index.html?fbgn=FBgn0010750&tableOut=gene:25:Carcass	5.18	0.32	1.12	6.74	0.93	0.84	0.77	n.s.	3.87	0.15	0.83
index.html?fbgn=FBgn0010762&tableOut=gene:25:Carcass	5.29	0.29	0.97	6.23	0.62	0.8	0.85	n.s.	5.26	0.33	1.3
index.html?fbgn=FBgn0010768&tableOut=gene:25:Carcass	0.71	0.12	-1	0.92	0.41	0.29	1	n.s.	1.37	0.31	-1
index.html?fbgn=FBgn0010770&tableOut=gene:25:Carcass	1.71	0.27	-1	4.97	0.94	0.67	0.4	p > 0.05	2.27	0.36	0.97
index.html?fbgn=FBgn0010772&tableOut=gene:25:Carcass	5.8	1.79	0.73	6.55	0.88	1.06	0.89	n.s.	4.6	0.35	1.19
index.html?fbgn=FBgn0010774&tableOut=gene:25:Carcass	14.47	0.31	1.01	20.01	4.06	0.55	0.72	n.s.	24.85	0.55	0.79
index.html?fbgn=FBgn0010786&tableOut=gene:25:Carcass	47.53	9.15	1.96	36.25	5.92	1.59	1.31	n.s.	7.11	0.34	1.47
index.html?fbgn=FBgn0010803&tableOut=gene:25:Carcass	5.41	0.42	0.54	7.52	0.65	0.55	0.72	p > 0.05	11.12	0.31	1.09
index.html?fbgn=FBgn0010808&tableOut=gene:25:Carcass	85.55	9.6	1.99	74.71	10.01	2.64	1.15	n.s.	38.64	3.96	1.38
index.html?fbgn=FBgn0010812&tableOut=gene:25:Carcass	9.23	0.66	1.34	10.28	1.54	1.53	0.9	n.s.	13.4	1.48	1.55
index.html?fbgn=FBgn0010825&tableOut=gene:25:Carcass	4.75	0.63	0.64	5.05	0.42	0.52	0.94	n.s.	4.06	0.13	1.45
index.html?fbgn=FBgn0010830&tableOut=gene:25:Carcass	3	0.33	0.91	3.37	0.6	0.58	0.89	n.s.	2.79	0.37	1.28
index.html?fbgn=FBgn0010877&tableOut=gene:25:Carcass	9.72	0.36	1.04	11.19	0.65	0.7	0.87	p > 0.05	5.1	0.02	0.76
index.html?fbgn=FBgn0010894&tableOut=gene:25:Carcass	7.59	0.78	0.98	7.54	0.73	1.23	1.01	n.s.	19.6	1.74	1.67
index.html?fbgn=FBgn0010905&tableOut=gene:25:Carcass	3.24	0.82	0.43	2.47	0.61	0.21	1.31	n.s.	1.53	0.23	0.35
index.html?fbgn=FBgn0010909&tableOut=gene:25:Carcass	9.62	0.97	0.92	11.49	0.37	0.77	0.84	n.s.	10	0.13	0.87
index.html?fbgn=FBgn0010926&tableOut=gene:25:Carcass	2.52	0.45	1.15	5.3	0.55	0.55	0.48	p > 0.01	2.46	0.37	1.18
index.html?fbgn=FBgn0011016&tableOut=gene:25:Carcass	50.58	5.9	0.9	68.71	9.75	0.8	0.74	n.s.	98.97	4.86	0.89
index.html?fbgn=FBgn0011020&tableOut=gene:25:Carcass	0.55	0.04	-1	1.06	0.48	0.25	1	n.s.	1.34	0.23	-1
index.html?fbgn=FBgn0011202&tableOut=gene:25:Carcass	9.2	2.31	0.82	8.53	0.74	1.01	1.08	n.s.	8.43	0.27	0.68
index.html?fbgn=FBgn0011204&tableOut=gene:25:Carcass	33.91	5.94	1.86	37.45	5.29	1.29	0.91	n.s.	7.87	0.85	1.24
index.html?fbgn=FBgn0011205&tableOut=gene:25:Carcass	48.79	9.1	2.94	46.81	5.72	4.59	1.04	n.s.	7.72	0.71	0.45
index.html?fbgn=FBgn0011206&tableOut=gene:25:Carcass	19.97	1.15	0.4	17.38	2.45	3.33	1.15	n.s.	7.99	1.01	2.24
index.html?fbgn=FBgn0011207&tableOut=gene:25:Carcass	7.25	0.53	0.95	8.83	0.6	0.67	0.82	p > 0.05	7.44	0.03	1.22
index.html?fbgn=FBgn0011211&tableOut=gene:25:Carcass	575.56	21.95	1.87	495.55	62.81	2.54	1.16	n.s.	376.72	44.64	2.43
index.html?fbgn=FBgn0011217&tableOut=gene:25:Carcass	81.48	18.11	1.37	77.26	8.8	1.39	1.05	n.s.	121.21	13.1	1.37
index.html?fbgn=FBgn0011224&tableOut=gene:25:Carcass	6.25	1.75	0.4	6.07	1.52	0.42	1.03	n.s.	35.22	3.73	2.05
index.html?fbgn=FBgn0011225&tableOut=gene:25:Carcass	25.12	0.91	0.75	23.23	3.2	1.46	1.08	n.s.	14.71	1.49	0.51
index.html?fbgn=FBgn0011227&tableOut=gene:25:Carcass	901.63	234.92	0.57	666.77	118.05	1.05	1.35	n.s.	398.25	38.13	2.84
index.html?fbgn=FBgn0011230&tableOut=gene:25:Carcass	24.83	4.53	0.68	25.27	3.2	1.06	0.98	n.s.	20.42	1.12	1.31
index.html?fbgn=FBgn0011232&tableOut=gene:25:Carcass	2.99	0.3	0.76	2.96	0.14	0.51	1.01	n.s.	3.03	0.29	0.72
index.html?fbgn=FBgn0011236&tableOut=gene:25:Carcass	2.3	0.13	0.77	3.23	0.37	0.59	0.71	p > 0.05	3.24	0.42	1.62
index.html?fbgn=FBgn0011239&tableOut=gene:25:Carcass	0.98	0.61	0.09	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011244&tableOut=gene:25:Carcass	3.4	2.29	0.05	0.01	0.01	-1	1.7	n.s.	0.01	0.02	-1
index.html?fbgn=FBgn0011259&tableOut=gene:25:Carcass	1.37	0.53	0.35	1.09	0.4	0.44	1	n.s.	1.54	0.41	-1
index.html?fbgn=FBgn0011260&tableOut=gene:25:Carcass	6.34	0.7	1.38	8.7	0.16	0.66	0.73	p > 0.05	13.71	0.93	1.41
index.html?fbgn=FBgn0011270&tableOut=gene:25:Carcass	3.12	1.76	0.11	0	0	-1	1.56	n.s.	0.05	0.01	-1
index.html?fbgn=FBgn0011272&tableOut=gene:25:Carcass	330.84	65.74	1.41	646.43	101.66	1.95	0.51	p > 0.05	392.6	35.28	0.92
index.html?fbgn=FBgn0011273&tableOut=gene:25:Carcass	2.72	2.08	0.07	0.05	0.05	-1	1.36	n.s.	0	0	-1
index.html?fbgn=FBgn0011274&tableOut=gene:25:Carcass	23.75	2.51	1.58	20.16	4.17	4.02	1.18	n.s.	2.66	0.21	0.8
index.html?fbgn=FBgn0011276&tableOut=gene:25:Carcass	0.03	0.03	-1	0.04	0.03	-1	1	n.s.	0.01	0.02	-1
index.html?fbgn=FBgn0011277&tableOut=gene:25:Carcass	0.12	0.06	-1	0.12	0.01	-1	1	n.s.	0.03	0.05	-1
index.html?fbgn=FBgn0011278&tableOut=gene:25:Carcass	0.69	0.18	-1	0.11	0.06	-1	1	p > 0.05	0.6	0.11	-1
index.html?fbgn=FBgn0011279&tableOut=gene:25:Carcass	0.12	0.1	0.01	0.25	0.43	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011280&tableOut=gene:25:Carcass	30.58	11.53	0.11	20.37	7.16	0.31	1.5	n.s.	0.03	0.06	-1
index.html?fbgn=FBgn0011281&tableOut=gene:25:Carcass	0.06	0.1	0	0	0	0	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011282&tableOut=gene:25:Carcass	0.39	0.25	0.04	0.34	0.14	0.14	1	n.s.	0.87	0.21	-1
index.html?fbgn=FBgn0011283&tableOut=gene:25:Carcass	0.19	0.21	0.02	0.12	0.15	0.04	1	n.s.	8.82	3.28	4.41
index.html?fbgn=FBgn0011284&tableOut=gene:25:Carcass	429.35	37.69	1.42	875.91	102.41	1.48	0.49	p > 0.01	655.34	21.23	1.15
index.html?fbgn=FBgn0011286&tableOut=gene:25:Carcass	5.9	2.4	0.47	5.59	1.39	1.54	1.06	n.s.	8.19	1.72	4.09
index.html?fbgn=FBgn0011288&tableOut=gene:25:Carcass	22.97	5.54	0.69	12.47	6.31	1.83	1.84	n.s.	3.89	0.53	1.95
